"scenario","year","tas","tas_30yr"
"ssp126",1868,7.49072989375216,8.40463548698357
"ssp126",1869,9.40408693078448,8.45460805917361
"ssp126",1870,8.20325150163209,8.44263869929068
"ssp126",1871,8.05329096545914,8.42494107502561
"ssp126",1872,8.92267802921151,8.44658181216413
"ssp126",1873,9.28311692329305,8.4814374417945
"ssp126",1874,8.81820528213294,8.49490815540804
"ssp126",1875,8.43545072372648,8.49262133111259
"ssp126",1876,7.48961345901908,8.45547289140543
"ssp126",1877,7.88678103930332,8.43516246811607
"ssp126",1878,7.66227508962973,8.40851117920275
"ssp126",1879,8.52761263912674,8.41248122786688
"ssp126",1880,8.48838220815192,8.44778128809883
"ssp126",1881,8.45608955278791,8.46187093062791
"ssp126",1882,8.40781525912352,8.43019935860912
"ssp126",1883,9.2517980288153,8.52335696225183
"ssp126",1884,6.84711367080774,8.45401214979206
"ssp126",1885,8.5165006454677,8.4346852421508
"ssp126",1886,7.91166758080054,8.41514811299576
"ssp126",1887,8.36260100064215,8.38007525262636
"ssp126",1888,7.43154326058479,8.38428960333057
"ssp126",1889,8.01553737692639,8.35220983734883
"ssp126",1890,8.31955558045272,8.34840330422259
"ssp126",1891,8.15599925420058,8.3297651797131
"ssp126",1892,8.07359945995562,8.34419324990101
"ssp126",1893,8.86790671152614,8.34889047093411
"ssp126",1894,9.55716251739086,8.37331040431955
"ssp126",1895,8.45512110043881,8.37185689387836
"ssp126",1896,7.66161624095481,8.30517195835549
"ssp126",1897,8.39501133748932,8.31173710878625
"ssp126",1898,7.23947661935469,8.30336199963967
"ssp126",1899,9.55958979358414,8.30854542839966
"ssp126",1900,7.54566165453769,8.28662576682984
"ssp126",1901,8.82788253157108,8.31244548570024
"ssp126",1902,9.07071106793131,8.31737992032424
"ssp126",1903,6.39865087221749,8.22123105195505
"ssp126",1904,7.88302452212477,8.19005835995478
"ssp126",1905,7.52741030340328,8.15979034594401
"ssp126",1906,9.18747240876501,8.21638564426887
"ssp126",1907,9.15260302399938,8.2585797104254
"ssp126",1908,8.14133155697684,8.27454825933697
"ssp126",1909,8.54342952362481,8.27507548882024
"ssp126",1910,7.89571165319994,8.25531980365518
"ssp126",1911,8.11522877314322,8.24395777766702
"ssp126",1912,8.32650971959851,8.24124759301619
"ssp126",1913,7.85675525404005,8.19474616719035
"ssp126",1914,7.65109495398119,8.22154554329613
"ssp126",1915,8.08896559623825,8.20729437498848
"ssp126",1916,9.68661222197321,8.2664591963609
"ssp126",1917,8.69503198911068,8.27754022930985
"ssp126",1918,9.08224512387631,8.3325636247529
"ssp126",1919,9.02826621695743,8.36632125275394
"ssp126",1920,8.63700097923073,8.37690276604654
"ssp126",1921,9.02764541416954,8.4059576380455
"ssp126",1922,8.68314217345358,8.42627572849544
"ssp126",1923,8.08889168517233,8.40030856095031
"ssp126",1924,8.15471843448495,8.35356042485344
"ssp126",1925,9.19579877461475,8.37824968065931
"ssp126",1926,7.70406686443174,8.37966470144187
"ssp126",1927,9.16875585268624,8.40545618528177
"ssp126",1928,8.84723549097616,8.45904814766915
"ssp126",1929,9.45807369702485,8.45566427778384
"ssp126",1930,7.97196044921877,8.46987423760655
"ssp126",1931,8.1622986675942,8.44768810880732
"ssp126",1932,7.99867530364159,8.41195358333099
"ssp126",1933,7.89504231492136,8.46183329808779
"ssp126",1934,8.95358987050516,8.49751880970047
"ssp126",1935,8.34647074660212,8.52482082447376
"ssp126",1936,8.53338512983481,8.50301791517609
"ssp126",1937,8.57132338432419,8.48364192718692
"ssp126",1938,8.92006647815445,8.50959975789284
"ssp126",1939,7.59191397052924,8.47788257278965
"ssp126",1940,7.25712392004464,8.45659631501781
"ssp126",1941,9.29032358665991,8.49576614213503
"ssp126",1942,8.06893051356488,8.48718016860058
"ssp126",1943,7.60963552814643,8.47894284440412
"ssp126",1944,7.87185367104788,8.48630146830635
"ssp126",1945,7.8371602515652,8.47790795681724
"ssp126",1946,8.12028357100816,8.42569700178507
"ssp126",1947,8.45110674296342,8.41756616024683
